ID	Name	Codepoint
0164	FROG FACE	U+1F438
0165	POODLE	U+1F429
0166	BLOWFISH	U+1F421
0167	ANT	U+1F41C
0168	PAW PRINTS	U+1F43E
0169	TURTLE	U+1F422
0170	HATCHING CHICK	U+1F423
0171	DRAGON FACE	U+1F432
0172	PANDA FACE	U+1F43C
0173	PIG NOSE	U+1F43D
0174	HONEYBEE	U+1F41D
0175	LADY BEETLE	U+1F41E
0176	ANGRY FACE	U+1F620
0177	WEARY FACE	U+1F629
0178	ASTONISHED FACE	U+1F632
0179	DISAPPOINTED FACE	U+1F61E
0180	DIZZY FACE	U+1F635
0181	FACE WITH OPEN MOUTH AND COLD SWEAT	U+1F630
0182	UNAMUSED FACE	U+1F612
0183	SMILING FACE WITH HEARTSHAPED EYES	U+1F60D
0184	FACE WITH LOOK OF TRIUMPH	U+1F624
0185	FACE WITH STUCKOUT TONGUE AND WINKING EYE	U+1F61C
0186	FACE WITH STUCKOUT TONGUE AND TIGHTLYCLOSED	U+1F61D
0187	FACE SAVOURING DELICIOUS FOOD	U+1F60B
0188	FACE THROWING A KISS	U+1F618
0189	KISSING FACE WITH CLOSED EYES	U+1F61A
0190	FACE WITH MEDICAL MASK	U+1F637
0191	FLUSHED FACE	U+1F633
0192	SMILING FACE WITH OPEN MOUTH	U+1F603
0193	SMILING FACE WITH OPEN MOUTH AND COLD SWEAT	U+1F605
0194	SMILING FACE WITH OPEN MOUTH AND TIGHTLYCLOSED EYES	U+1F606
0195	GRINNING FACE WITH SMILING EYES	U+1F601
0196	FACE WITH TEARS OF JOY	U+1F602
0197	SMILING FACE WITH SMILING EYES	U+1F60A
0198	WHITE SMILING FACE	U+263A
0199	SMILING FACE WITH OPEN MOUTH AND SMILING EYES	U+1F604
0200	CRYING FACE	U+1F622
0201	LOUDLY CRYING FACE	U+1F62D
0202	FEARFUL FACE	U+1F628
0203	PERSEVERING FACE	U+1F623
0204	POUTING FACE	U+1F621
0205	RELIEVED FACE	U+1F60C
0206	CONFOUNDED FACE	U+1F616
0207	PENSIVE FACE	U+1F614
0208	FACE SCREAMING IN FEAR	U+1F631
0209	SLEEPY FACE	U+1F62A
0210	SMIRKING FACE	U+1F60F
0211	FACE WITH COLD SWEAT	U+1F613
0212	DISAPPOINTED BUT RELIEVED FACE	U+1F625
0213	TIRED FACE	U+1F62B
0214	WINKING FACE	U+1F609
0215	SMILING CAT FACE WITH OPEN MOUTH	U+1F63A
0216	GRINNING CAT FACE WITH SMILING EYES	U+1F638
0217	CAT FACE WITH TEARS OF JOY	U+1F639
0218	KISSING CAT FACE WITH CLOSED EYES	U+1F63D
0219	SMILING CAT FACE WITH HEARTSHAPED EYES	U+1F63B
0220	CRYING CAT FACE	U+1F63F
0221	POUTING CAT FACE	U+1F63E
0222	CAT FACE WITH WRY SMILE	U+1F63C
0223	WEARY CAT FACE	U+1F640
0224	FACE WITH NO GOOD GESTURE	U+1F645
0225	FACE WITH OK GESTURE	U+1F646
0226	PERSON BOWING DEEPLY	U+1F647
0227	SEENOEVIL MONKEY	U+1F648
0228	SPEAKNOEVIL MONKEY	U+1F64A
0229	HEARNOEVIL MONKEY	U+1F649
0230	HAPPY PERSON RAISING ONE HAND	U+1F64B
0231	PERSON RAISING BOTH HANDS IN CELEBRATION	U+1F64C
0232	PERSON FROWNING	U+1F64D
0233	PERSON WITH POUTING FACE	U+1F64E
0234	PERSON WITH FOLDED HANDS	U+1F64F
0235	HOUSE BUILDING	U+1F3E0
0236	HOUSE WITH GARDEN	U+1F3E1
0237	OFFICE BUILDING	U+1F3E2
0238	JAPANESE POST OFFICE	U+1F3E3
0239	HOSPITAL	U+1F3E5
0240	BANK	U+1F3E6
0241	AUTOMATED TELLER MACHINE	U+1F3E7
0242	HOTEL	U+1F3E8
0243	LOVE HOTEL	U+1F3E9
0244	CONVENIENCE STORE	U+1F3EA
0245	SCHOOL	U+1F3EB
0246	CHURCH	U+26EA
0247	FOUNTAIN	U+26F2
0248	DEPARTMENT STORE	U+1F3EC
0249	JAPANESE CASTLE	U+1F3EF
0250	EUROPEAN CASTLE	U+1F3F0
0251	FACTORY	U+1F3ED
0252	ANCHOR	U+2693
0253	IZAKAYA LANTERN	U+1F3EE
0254	MOUNT FUJI	U+1F5FB
0255	TOKYO TOWER	U+1F5FC
0256	STATUE OF LIBERTY	U+1F5FD
0257	SILHOUETTE OF JAPAN	U+1F5FE
0258	MOYAI	U+1F5FF
0259	WRENCH	U+1F527
0260	HAMMER	U+1F528
0261	NUT AND BOLT	U+1F529
0262	MANS SHOE	U+1F45E
0263	ATHLETIC SHOE	U+1F45F
0264	EYEGLASSES	U+1F453
0265	TSHIRT	U+1F455
0266	JEANS	U+1F456
0267	CROWN	U+1F451
0268	TRIDENT EMBLEM	U+1F531
0269	NECKTIE	U+1F454
0270	WOMANS HAT	U+1F452
0271	DRESS	U+1F457
0272	HIGHHEELED SHOE	U+1F460
0273	WOMANS SANDAL	U+1F461
0274	WOMANS BOOTS	U+1F462
0275	KIMONO	U+1F458
0276	BIKINI	U+1F459
0277	WOMANS CLOTHES	U+1F45A
0278	PURSE	U+1F45B
0279	MONEY BAG	U+1F4B0
0280	CURRENCY EXCHANGE	U+1F4B1
0281	CHART WITH UPWARDS TREND AND YEN SIGN	U+1F4B9
