ID	Name	Codepoint
0625	NO ONE UNDER EIGHTEEN SYMBOL	U+1F51E
0626	NO ENTRY	U+26D4
0627	SQUARED OK	U+1F197
0628	SQUARED NG	U+1F196
0629	COPYRIGHT SIGN	U+00A9
0630	TRADE MARK SIGN	U+2122
0631	CIRCLED IDEOGRAPH SECRET	U+3299
0632	BLACK UNIVERSAL RECYCLING SYMBOL	U+267B
0633	REGISTERED SIGN	U+00AE
0634	SQUARED CJK UNIFIED IDEOGRAPH7981	U+1F232
0635	SQUARED CJK UNIFIED IDEOGRAPH7A7A	U+1F233
0636	SQUARED CJK UNIFIED IDEOGRAPH5408	U+1F234
0637	SQUARED CJK UNIFIED IDEOGRAPH6E80	U+1F235
0638	SQUARED VS	U+1F19A
0639	MENS SYMBOL	U+1F6B9
0640	WOMENS SYMBOL	U+1F6BA
0641	BABY SYMBOL	U+1F6BC
0642	SQUARED NEW	U+1F195
0643	SQUARED UP WITH EXCLAMATION MARK	U+1F199
0644	SQUARED COOL	U+1F192
0645	SQUARED CJK UNIFIED IDEOGRAPH6709	U+1F236
0646	SQUARED CJK UNIFIED IDEOGRAPH7121	U+1F21A
0647	SQUARED CJK UNIFIED IDEOGRAPH6708	U+1F237
0648	SQUARED CJK UNIFIED IDEOGRAPH7533	U+1F238
0649	CIRCLED IDEOGRAPH ADVANTAGE	U+1F250
0650	SQUARED CJK UNIFIED IDEOGRAPH5272	U+1F239
0651	SQUARED KATAKANA SA	U+1F202
0652	SQUARED CJK UNIFIED IDEOGRAPH6307	U+1F22F
0653	SQUARED CJK UNIFIED IDEOGRAPH55B6	U+1F23A
0654	TOP WITH UPWARDS ARROW ABOVE	U+1F51D
0655	CIRCLED IDEOGRAPH CONGRATULATION	U+3297
0656	HEAVY LARGE CIRCLE	U+2B55
0657	CROSS MARK	U+274C
0658	NEGATIVE SQUARED CROSS MARK	U+274E
0659	INFORMATION SOURCE	U+2139
0660	NO ENTRY SIGN	U+1F6AB
0661	HEAVY CHECK MARK	U+2714
0662	WHITE HEAVY CHECK MARK	U+2705
0663	LINK SYMBOL	U+1F517
0664	EM SPACE	U+2003
0665	EN SPACE	U+2002
0666	FOURPEREM SPACE	U+2005
0667	SQUARED SOS	U+1F198
0668	CIRCLED IDEOGRAPH ACCEPT	U+1F251
0669	HEAVY PLUS SIGN	U+2795
0670	HEAVY MINUS SIGN	U+2796
0671	HEAVY MULTIPLICATION X	U+2716
0672	HEAVY DIVISION SIGN	U+2797
0673	DIAMOND SHAPE WITH A DOT INSIDE	U+1F4A0
0674	ELECTRIC LIGHT BULB	U+1F4A1
0675	ANGER SYMBOL	U+1F4A2
0676	BOMB	U+1F4A3
0677	SLEEPING SYMBOL	U+1F4A4
0678	COLLISION SYMBOL	U+1F4A5
0679	SPLASHING SWEAT SYMBOL	U+1F4A6
0680	DROPLET	U+1F4A7
0681	DASH SYMBOL	U+1F4A8
0682	FLEXED BICEPS	U+1F4AA
0683	DIZZY SYMBOL	U+1F4AB
0684	SPARKLES	U+2728
0685	EIGHT POINTED BLACK STAR	U+2734
0686	EIGHT SPOKED ASTERISK	U+2733
0687	LARGE RED CIRCLE	U+1F534
0688	LARGE BLUE CIRCLE	U+1F535
0689	MEDIUM WHITE CIRCLE	U+26AA
0690	MEDIUM BLACK CIRCLE	U+26AB
0691	WHITE SQUARE BUTTON	U+1F533
0692	WHITE MEDIUM STAR	U+2B50
0693	GLOWING STAR	U+1F31F
0694	SHOOTING STAR	U+1F320
0695	WHITE LARGE SQUARE	U+2B1C
0696	BLACK LARGE SQUARE	U+2B1B
0697	WHITE SMALL SQUARE	U+25AB
0698	BLACK SMALL SQUARE	U+25AA
0699	WHITE MEDIUM SMALL SQUARE	U+25FD
0700	BLACK MEDIUM SMALL SQUARE	U+25FE
0701	WHITE MEDIUM SQUARE	U+25FB
0702	BLACK MEDIUM SQUARE	U+25FC
0703	LARGE ORANGE DIAMOND	U+1F536
0704	LARGE BLUE DIAMOND	U+1F537
0705	SMALL ORANGE DIAMOND	U+1F538
0706	SMALL BLUE DIAMOND	U+1F539
0707	SPARKLE	U+2747
0708	UPPOINTING RED TRIANGLE	U+1F53A
0709	DOWNPOINTING RED TRIANGLE	U+1F53B
0710	WHITE FLOWER	U+1F4AE
0711	HUNDRED POINTS SYMBOL	U+1F4AF
0712	INPUT SYMBOL FOR LATIN CAPITAL LETTERS	U+1F520
0713	INPUT SYMBOL FOR LATIN SMALL LETTERS	U+1F521
0714	INPUT SYMBOL FOR NUMBERS	U+1F522
0715	INPUT SYMBOL FOR SYMBOLS	U+1F523
0716	INPUT SYMBOL FOR LATIN LETTERS	U+1F524
0717	SQUARED ID	U+1F194
0718	KEY	U+1F511
0719	LEFTWARDS ARROW WITH HOOK	U+21A9
0720	SQUARED CL	U+1F191
0721	LEFTPOINTING MAGNIFYING GLASS	U+1F50D
0722	LOCK	U+1F512
0723	OPEN LOCK	U+1F513
0724	RIGHTWARDS ARROW WITH HOOK	U+21AA
0725	CLOSED LOCK WITH KEY	U+1F510
0726	BALLOT BOX WITH CHECK	U+2611
0727	RADIO BUTTON	U+1F518
0728	RIGHTPOINTING MAGNIFYING GLASS	U+1F50E
0729	BACK WITH LEFTWARDS ARROW ABOVE	U+1F519
0730	BOOKMARK	U+1F516
0731	LOCK WITH INK PEN	U+1F50F
0732	CLOCKWISE DOWNWARDS AND UPWARDS OPEN CIRCLE ARROWS	U+1F503
0733	EMAIL SYMBOL	U+1F4E7
0734	RAISED FIST	U+270A
0735	VICTORY HAND	U+270C
0736	RAISED HAND	U+270B
0737	FISTED HAND SIGN	U+1F44A
0738	THUMBS UP SIGN	U+1F44D
0739	WHITE UP POINTING INDEX	U+261D
0740	WHITE UP POINTING BACKHAND INDEX	U+1F446
0741	WHITE DOWN POINTING BACKHAND INDEX	U+1F447
0742	WHITE LEFT POINTING BACKHAND INDEX	U+1F448
0743	WHITE RIGHT POINTING BACKHAND INDEX	U+1F449
0744	WAVING HAND SIGN	U+1F44B
0745	CLAPPING HANDS SIGN	U+1F44F
0746	OK HAND SIGN	U+1F44C
0747	THUMBS DOWN SIGN	U+1F44E
0748	OPEN HANDS SIGN	U+1F450
0749	BLACK SQUARE BUTTON	U+1F532
